epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,537.177,0.91273,0.72512,1.05145,0.96134,0.59091,0.73399,0.39858,1.349,1.23337,1.31736,0.00999834,0.00333278,0.00999834,0.00333278,0.00999834,0.00333278,0.00999834,0.00333278
2,1063.23,0.71827,0.41204,0.95375,0.85319,0.86364,0.88421,0.50408,1.3247,0.6976,1.27327,0.0198004,0.00660012,0.0198004,0.00660012,0.0198004,0.00660012,0.0198004,0.00660012
3,1597.39,0.69609,0.403,0.94905,0.74784,0.81818,0.7689,0.46752,1.42141,1.10833,1.32457,0.0294044,0.00980146,0.0294044,0.00980146,0.0294044,0.00980146,0.0294044,0.00980146
4,2128.45,0.65001,0.37988,0.932,0.94413,0.76837,0.84066,0.42464,1.66112,1.07622,1.52297,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2659.14,0.59431,0.3433,0.90875,0.67766,0.81818,0.74509,0.35412,1.86359,1.24601,1.67918,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3161.36,0.55794,0.32062,0.89472,0.87397,0.63073,0.69583,0.30925,1.81875,1.1814,1.67791,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3692.81,0.53358,0.30484,0.8858,0.8066,0.81818,0.8136,0.38292,1.75329,0.97617,1.69902,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4224.21,0.51162,0.292,0.87703,0.69044,0.81127,0.75168,0.36072,1.74259,1.01324,1.60134,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4721.72,0.49803,0.28379,0.87245,0.9224,0.54064,0.68152,0.35158,1.6816,1.12734,1.59349,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5252.59,0.48554,0.27603,0.86812,0.86284,0.85809,0.83495,0.40306,1.6733,0.86076,1.57993,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5754.62,0.47559,0.26972,0.86396,0.84635,0.81818,0.78199,0.35129,1.88093,0.89464,1.82382,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6286.85,0.46714,0.26522,0.86071,0.68534,0.72727,0.65939,0.27431,2.08726,1.4536,2.06798,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6818.66,0.45859,0.26078,0.85892,0.84015,0.71713,0.70749,0.3128,1.95557,1.08609,1.88946,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7349.24,0.44954,0.25521,0.85522,0.939,0.81818,0.80816,0.31441,2.06008,1.20828,2.08728,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7880.56,0.44323,0.25036,0.85299,0.80099,0.68182,0.68314,0.26722,2.25239,1.16468,2.2236,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8411.82,0.43734,0.2481,0.85181,0.96176,0.72727,0.77816,0.31133,2.12107,1.0502,2.09437,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8942.73,0.43285,0.24525,0.85029,0.89287,0.77273,0.77203,0.34479,2.09146,0.99564,1.96125,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9473.7,0.4276,0.24267,0.84892,0.76129,0.63636,0.67228,0.25431,2.32203,1.21708,2.23421,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,10005.8,0.42322,0.24077,0.84701,0.88181,0.68182,0.76739,0.32641,1.99838,0.96809,1.91303,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10539.3,0.41827,0.23729,0.84495,0.94094,0.72431,0.75537,0.38543,1.86704,0.93468,1.74604,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,11069.6,0.41638,0.23595,0.84446,0.91482,0.63636,0.65152,0.2898,2.10243,1.08541,1.89673,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,11598.8,0.4117,0.23287,0.8426,0.81068,0.68182,0.70858,0.3227,2.0039,1.00994,1.89673,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,12129.1,0.40861,0.23215,0.84187,0.79898,0.72286,0.71877,0.34497,1.93769,0.97059,1.85328,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,12658.7,0.40424,0.23014,0.84107,0.84914,0.77273,0.75187,0.32635,1.94139,0.97204,1.88829,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,13182.4,0.40182,0.22843,0.8394,0.78537,0.68182,0.66437,0.33408,1.96099,0.94079,1.87272,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,13688.1,0.39825,0.22559,0.83799,0.83134,0.59091,0.61991,0.34522,1.88825,0.98537,1.79359,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,14219.2,0.39558,0.22482,0.83824,0.97556,0.63636,0.6827,0.35934,1.87123,0.96202,1.75888,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
